PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Has_Cabin
1,False,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,S,0
2,True,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C,1
3,True,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,S,0
4,True,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,S,1
5,False,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,S,0
6,False,3,"Moran, Mr. James",male,25.0,0,0,330877,8.4583,Q,0
7,False,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,S,1
8,False,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,S,0
9,True,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,S,0
10,True,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,C,0
11,True,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,S,1
12,True,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,S,1
13,False,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,S,0
14,False,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,S,0
15,False,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,S,0
16,True,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,S,0
17,False,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,Q,0
18,True,2,"Williams, Mr. Charles Eugene",male,29.0,0,0,244373,13.0,S,0
19,False,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,S,0
20,True,3,"Masselmani, Mrs. Fatima",female,25.0,0,0,2649,7.225,C,0
21,False,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,S,0
22,True,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,S,1
23,True,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.03,Q,0
24,True,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,S,1
25,False,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,S,0
26,True,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,S,0
27,False,3,"Emir, Mr. Farred Chehab",male,25.0,0,0,2631,7.225,C,0
28,False,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,S,1
29,True,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,21.0,0,0,330959,7.8792,Q,0
30,False,3,"Todoroff, Mr. Lalio",male,25.0,0,0,349216,7.8958,S,0
31,False,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,C,0
32,True,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,36.0,1,0,PC 17569,146.5208,C,1
33,True,3,"Glynn, Miss. Mary Agatha",female,21.0,0,0,335677,7.75,Q,0
34,False,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,S,0
35,False,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,C,0
36,False,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,S,0
37,True,3,"Mamee, Mr. Hanna",male,25.0,0,0,2677,7.2292,C,0
38,False,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,S,0
39,False,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,S,0
40,True,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,C,0
41,False,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,S,0
42,False,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,S,0
43,False,3,"Kraeff, Mr. Theodor",male,25.0,0,0,349253,7.8958,C,0
44,True,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,C,0
45,True,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,7.8792,Q,0
46,False,3,"Rogers, Mr. William John",male,25.0,0,0,S.C./A.4. 23567,8.05,S,0
47,False,3,"Lennon, Mr. Denis",male,25.0,1,0,370371,15.5,Q,0
48,True,3,"O'Driscoll, Miss. Bridget",female,25.0,0,0,14311,7.75,Q,0
49,False,3,"Samaan, Mr. Youssef",male,25.0,2,0,2662,21.6792,C,0
50,False,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,S,0
51,False,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,S,0
52,False,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,S,0
53,True,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,C,1
54,True,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,S,0
55,False,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,C,1
56,True,1,"Woolner, Mr. Hugh",male,40.0,0,0,19947,35.5,S,1
57,True,2,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026,10.5,S,0
58,False,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,C,0
59,True,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,S,0
60,False,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,S,0
61,False,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,C,0
62,True,1,"Icard, Miss. Amelie",female,38.0,0,0,113572,80.0,S,1
63,False,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,S,1
64,False,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,S,0
65,False,1,"Stewart, Mr. Albert A",male,40.0,0,0,PC 17605,27.7208,C,0
66,True,3,"Moubarek, Master. Gerios",male,28.0,1,1,2661,15.2458,C,0
67,True,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,S,1
68,False,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,S,0
69,True,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,S,0
70,False,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151,8.6625,S,0
71,False,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,S,0
72,False,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,S,0
73,False,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,S,0
74,False,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,C,0
75,True,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,S,0
76,False,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,S,1
77,False,3,"Staneff, Mr. Ivan",male,25.0,0,0,349208,7.8958,S,0
78,False,3,"Moutal, Mr. Rahamin Haim",male,25.0,0,0,374746,8.05,S,0
79,True,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,S,0
80,True,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,12.47,S,0
81,False,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,S,0
82,True,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,S,0
83,True,3,"McDermott, Miss. Brigdet Delia",female,21.0,0,0,330932,7.7875,Q,0
84,False,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,S,0
85,True,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,S,0
86,True,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,15.85,S,0
87,False,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,S,0
88,False,3,"Slocovski, Mr. Selman Francis",male,25.0,0,0,SOTON/OQ 392086,8.05,S,0
89,True,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,263.0,S,1
90,False,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275,8.05,S,0
91,False,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,S,0
92,False,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466,7.8542,S,0
93,False,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,61.175,S,1
94,False,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,20.575,S,0
95,False,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,S,0
96,False,3,"Shorney, Mr. Charles Joseph",male,25.0,0,0,374910,8.05,S,0
97,False,1,"Goldschmidt, Mr. George B",male,71.0,0,0,PC 17754,34.6542,C,1
98,True,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,C,1
99,True,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,23.0,S,0
100,False,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367,26.0,S,0
101,False,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245,7.8958,S,0
102,False,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,25.5,0,0,349215,7.8958,S,0
103,False,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,77.2875,S,1
104,False,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,S,0
105,False,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,S,0
106,False,3,"Mionoff, Mr. Stoytcho",male,28.0,0,0,349207,7.8958,S,0
107,True,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,343120,7.65,S,0
108,True,3,"Moss, Mr. Albert Johan",male,25.0,0,0,312991,7.775,S,0
109,False,3,"Rekic, Mr. Tido",male,38.0,0,0,349249,7.8958,S,0
110,True,3,"Moran, Miss. Bertha",female,18.5,1,0,371110,24.15,Q,0
111,False,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,52.0,S,1
112,False,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,C,0
113,False,3,"Barton, Mr. David John",male,22.0,0,0,324669,8.05,S,0
114,False,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,S,0
115,False,3,"Attalah, Miss. Malake",female,17.0,0,0,2627,14.4583,C,0
116,False,3,"Pekoniemi, Mr. Edvard",male,21.0,0,0,STON/O 2. 3101294,7.925,S,0
117,False,3,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,Q,0
118,False,2,"Turpin, Mr. William John Robert",male,29.0,1,0,11668,21.0,S,0
119,False,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,C,1
120,False,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,347082,31.275,S,0
121,False,2,"Hickman, Mr. Stanley George",male,21.0,2,0,S.O.C. 14879,73.5,S,0
122,False,3,"Moore, Mr. Leonard Charles",male,25.0,0,0,A4. 54510,8.05,S,0
123,False,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,C,0
124,True,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13.0,S,1
125,False,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281,77.2875,S,1
126,True,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,11.2417,C,0
127,False,3,"McMahon, Mr. Martin",male,25.0,0,0,370372,7.75,Q,0
128,True,3,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,C 17369,7.1417,S,0
129,True,3,"Peter, Miss. Anna",female,18.5,1,1,2668,22.3583,C,1
130,False,3,"Ekstrom, Mr. Johan",male,45.0,0,0,347061,6.975,S,0
131,False,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241,7.8958,C,0
132,False,3,"Coelho, Mr. Domingos Fernandeo",male,20.0,0,0,SOTON/O.Q. 3101307,7.05,S,0
133,False,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1,0,A/5. 3337,14.5,S,0
134,True,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414,26.0,S,0
